0.00.046.648 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.047.561 W srv  llama_server: -----------------
0.00.047.567 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.047.567 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.047.568 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.047.568 W srv  llama_server: -----------------
0.00.049.338 I srv    load_model: loading model '/model/target.gguf'
AMX is not ready to be used!
0.06.109.019 I cmn          init: llama threadpool init, n_threads = 6
0.06.109.478 I common_speculative_init_result: creating MTP draft context against the target model '/model/target.gguf'
0.06.291.522 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'true'
0.06.414.163 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.06.414.212 I srv  llama_server: model loaded
0.06.414.218 I srv  llama_server: listening on http://0.0.0.0:8080
0.06.414.219 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.06.414.219 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.16.112.890 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.16.113.671 I slot launch_slot_: id  0 | task 2 | processing task, is_child = 0
0.19.398.104 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   1024, progress = 0.01, t =   3.24 s / 315.88 tokens per second
0.21.007.896 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   1536, progress = 0.01, t =   4.85 s / 316.53 tokens per second
0.22.619.721 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   2048, progress = 0.02, t =   6.46 s / 316.80 tokens per second
0.24.220.553 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   2560, progress = 0.02, t =   8.06 s / 317.44 tokens per second
0.25.836.376 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   3072, progress = 0.02, t =   9.68 s / 317.35 tokens per second
0.27.442.146 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   3584, progress = 0.03, t =  11.29 s / 317.57 tokens per second
0.29.070.589 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   4096, progress = 0.03, t =  12.91 s / 317.17 tokens per second
0.30.689.993 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   4608, progress = 0.04, t =  14.53 s / 317.07 tokens per second
0.32.330.638 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   5120, progress = 0.04, t =  16.17 s / 316.56 tokens per second
0.33.972.749 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   5632, progress = 0.04, t =  17.82 s / 316.13 tokens per second
0.35.628.130 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   6144, progress = 0.05, t =  19.47 s / 315.55 tokens per second
0.37.275.390 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   6656, progress = 0.05, t =  21.12 s / 315.19 tokens per second
0.38.934.023 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   7168, progress = 0.06, t =  22.78 s / 314.71 tokens per second
0.40.597.170 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   7680, progress = 0.06, t =  24.44 s / 314.25 tokens per second
0.42.268.494 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   8192, progress = 0.06, t =  26.11 s / 313.74 tokens per second
0.43.940.600 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   8704, progress = 0.07, t =  27.78 s / 313.29 tokens per second
0.45.618.170 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   9216, progress = 0.07, t =  29.46 s / 312.83 tokens per second
0.47.295.494 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   9728, progress = 0.08, t =  31.14 s / 312.43 tokens per second
0.48.989.018 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  10240, progress = 0.08, t =  32.83 s / 311.92 tokens per second
0.50.677.346 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  10752, progress = 0.08, t =  34.52 s / 311.49 tokens per second
0.52.365.138 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  11264, progress = 0.09, t =  36.21 s / 311.11 tokens per second
0.54.063.950 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  11776, progress = 0.09, t =  37.90 s / 310.68 tokens per second
