0.00.047.376 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.048.428 W srv  llama_server: -----------------
0.00.048.433 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.048.433 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.048.434 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.048.434 W srv  llama_server: -----------------
0.00.050.099 I srv    load_model: loading model '/model/target.gguf'
AMX is not ready to be used!
0.05.999.533 I cmn          init: llama threadpool init, n_threads = 6
0.05.999.967 I common_speculative_init_result: creating MTP draft context against the target model '/model/target.gguf'
0.06.182.878 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'true'
0.06.304.310 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.06.304.358 I srv  llama_server: model loaded
0.06.304.364 I srv  llama_server: listening on http://0.0.0.0:8080
0.06.304.365 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.06.304.365 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.16.687.680 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.16.688.415 I slot launch_slot_: id  0 | task 2 | processing task, is_child = 0
0.19.971.819 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   1024, progress = 0.01, t =   3.24 s / 315.99 tokens per second
0.21.582.445 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   1536, progress = 0.01, t =   4.85 s / 316.56 tokens per second
0.23.192.417 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   2048, progress = 0.02, t =   6.46 s / 316.90 tokens per second
0.24.792.886 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   2560, progress = 0.02, t =   8.06 s / 317.54 tokens per second
0.26.407.230 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   3072, progress = 0.02, t =   9.68 s / 317.48 tokens per second
0.28.013.939 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   3584, progress = 0.03, t =  11.28 s / 317.66 tokens per second
0.29.643.399 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   4096, progress = 0.03, t =  12.91 s / 317.22 tokens per second
0.31.262.302 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   4608, progress = 0.04, t =  14.53 s / 317.11 tokens per second
0.32.900.197 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   5120, progress = 0.04, t =  16.17 s / 316.66 tokens per second
0.34.538.996 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   5632, progress = 0.04, t =  17.81 s / 316.28 tokens per second
0.36.195.116 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   6144, progress = 0.05, t =  19.46 s / 315.69 tokens per second
0.37.847.830 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   6656, progress = 0.05, t =  21.11 s / 315.23 tokens per second
0.39.504.478 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   7168, progress = 0.06, t =  22.77 s / 314.77 tokens per second
0.41.165.968 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   7680, progress = 0.06, t =  24.43 s / 314.33 tokens per second
0.42.836.143 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   8192, progress = 0.06, t =  26.10 s / 313.83 tokens per second
0.44.508.505 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   8704, progress = 0.07, t =  27.78 s / 313.37 tokens per second
0.46.185.769 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   9216, progress = 0.07, t =  29.45 s / 312.91 tokens per second
0.47.861.982 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   9728, progress = 0.08, t =  31.13 s / 312.51 tokens per second
0.49.554.661 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  10240, progress = 0.08, t =  32.82 s / 312.00 tokens per second
0.51.239.179 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  10752, progress = 0.08, t =  34.51 s / 311.60 tokens per second
0.52.926.377 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  11264, progress = 0.09, t =  36.19 s / 311.23 tokens per second
0.54.624.398 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  11776, progress = 0.09, t =  37.89 s / 310.80 tokens per second
0.56.328.342 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  12288, progress = 0.10, t =  39.59 s / 310.36 tokens per second
0.58.036.029 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  12800, progress = 0.10, t =  41.30 s / 309.92 tokens per second
0.59.741.597 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  13312, progress = 0.10, t =  43.01 s / 309.54 tokens per second
1.01.454.879 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  13824, progress = 0.11, t =  44.72 s / 309.13 tokens per second
1.03.169.662 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  14336, progress = 0.11, t =  46.43 s / 308.74 tokens per second
1.04.894.756 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  14848, progress = 0.12, t =  48.16 s / 308.32 tokens per second
1.06.615.558 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  15360, progress = 0.12, t =  49.88 s / 307.95 tokens per second
1.08.344.401 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  15872, progress = 0.12, t =  51.61 s / 307.56 tokens per second
1.10.071.053 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  16384, progress = 0.13, t =  53.33 s / 307.20 tokens per second
1.11.805.062 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  16896, progress = 0.13, t =  55.07 s / 306.83 tokens per second
1.13.536.561 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  17408, progress = 0.13, t =  56.80 s / 306.49 tokens per second
1.15.274.472 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  17920, progress = 0.14, t =  58.54 s / 306.14 tokens per second
1.17.012.945 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  18432, progress = 0.14, t =  60.27 s / 305.80 tokens per second
1.18.761.186 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  18944, progress = 0.15, t =  62.02 s / 305.44 tokens per second
1.20.509.349 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  19456, progress = 0.15, t =  63.77 s / 305.10 tokens per second
1.22.266.650 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  19968, progress = 0.15, t =  65.53 s / 304.73 tokens per second
1.24.023.110 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  20480, progress = 0.16, t =  67.28 s / 304.39 tokens per second
1.25.777.056 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  20992, progress = 0.16, t =  69.04 s / 304.07 tokens per second
1.27.537.531 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  21504, progress = 0.17, t =  70.80 s / 303.74 tokens per second
1.29.291.620 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  22016, progress = 0.17, t =  72.55 s / 303.46 tokens per second
1.31.057.511 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  22528, progress = 0.17, t =  74.32 s / 303.14 tokens per second
1.32.825.839 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  23040, progress = 0.18, t =  76.08 s / 302.82 tokens per second
1.34.603.457 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  23552, progress = 0.18, t =  77.86 s / 302.49 tokens per second
1.36.369.491 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  24064, progress = 0.19, t =  79.63 s / 302.21 tokens per second
1.38.147.507 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  24576, progress = 0.19, t =  81.40 s / 301.90 tokens per second
1.39.925.369 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  25088, progress = 0.19, t =  83.18 s / 301.60 tokens per second
1.41.713.684 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  25600, progress = 0.20, t =  84.97 s / 301.28 tokens per second
1.43.494.783 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  26112, progress = 0.20, t =  86.75 s / 301.00 tokens per second
1.45.275.012 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  26624, progress = 0.21, t =  88.53 s / 300.73 tokens per second
1.47.066.059 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  27136, progress = 0.21, t =  90.32 s / 300.44 tokens per second
1.48.857.487 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  27648, progress = 0.21, t =  92.11 s / 300.15 tokens per second
1.50.653.177 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  28160, progress = 0.22, t =  93.91 s / 299.87 tokens per second
1.52.451.215 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  28672, progress = 0.22, t =  95.71 s / 299.59 tokens per second
1.54.260.744 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  29184, progress = 0.23, t =  97.51 s / 299.28 tokens per second
1.56.083.853 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  29696, progress = 0.23, t =  99.34 s / 298.94 tokens per second
1.57.897.641 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  30208, progress = 0.23, t = 101.15 s / 298.64 tokens per second
1.59.702.443 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  30720, progress = 0.24, t = 102.96 s / 298.38 tokens per second
2.01.519.622 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  31232, progress = 0.24, t = 104.77 s / 298.09 tokens per second
2.03.329.896 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  31744, progress = 0.25, t = 106.58 s / 297.84 tokens per second
2.05.154.781 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  32256, progress = 0.25, t = 108.41 s / 297.54 tokens per second
2.06.971.498 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  32768, progress = 0.25, t = 110.22 s / 297.29 tokens per second
2.08.797.128 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  33280, progress = 0.26, t = 112.05 s / 297.02 tokens per second
2.10.622.014 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  33792, progress = 0.26, t = 113.87 s / 296.75 tokens per second
2.12.453.476 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  34304, progress = 0.27, t = 115.70 s / 296.48 tokens per second
2.14.282.460 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  34816, progress = 0.27, t = 117.53 s / 296.22 tokens per second
2.16.111.453 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  35328, progress = 0.27, t = 119.36 s / 295.97 tokens per second
2.17.948.346 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  35840, progress = 0.28, t = 121.20 s / 295.71 tokens per second
2.19.785.675 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  36352, progress = 0.28, t = 123.04 s / 295.46 tokens per second
2.21.632.034 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  36864, progress = 0.29, t = 124.88 s / 295.19 tokens per second
