0.00.044.327 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.045.244 W srv  llama_server: -----------------
0.00.045.249 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.045.250 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.045.250 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.045.251 W srv  llama_server: -----------------
0.00.046.924 I srv    load_model: loading model '/model/target.gguf'
AMX is not ready to be used!
0.01.716.764 W model has unused tensor blk.40.attn_norm.weight (size = 8192 bytes) -- ignoring
0.01.716.775 W model has unused tensor blk.40.post_attention_norm.weight (size = 8192 bytes) -- ignoring
0.01.716.788 W model has unused tensor blk.40.attn_q.weight (size = 9437184 bytes) -- ignoring
0.01.716.793 W model has unused tensor blk.40.attn_k.weight (size = 589824 bytes) -- ignoring
0.01.716.798 W model has unused tensor blk.40.attn_v.weight (size = 860160 bytes) -- ignoring
0.01.716.815 W model has unused tensor blk.40.attn_output.weight (size = 4718592 bytes) -- ignoring
0.01.716.823 W model has unused tensor blk.40.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.01.716.828 W model has unused tensor blk.40.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.01.716.838 W model has unused tensor blk.40.ffn_gate_inp.weight (size = 2097152 bytes) -- ignoring
0.01.716.853 W model has unused tensor blk.40.ffn_down_exps.weight (size = 220200960 bytes) -- ignoring
0.01.716.869 W model has unused tensor blk.40.ffn_gate_exps.weight (size = 150994944 bytes) -- ignoring
0.01.716.874 W model has unused tensor blk.40.ffn_up_exps.weight (size = 150994944 bytes) -- ignoring
0.01.716.880 W model has unused tensor blk.40.ffn_gate_inp_shexp.weight (size = 8192 bytes) -- ignoring
0.01.716.886 W model has unused tensor blk.40.ffn_gate_shexp.weight (size = 589824 bytes) -- ignoring
0.01.716.892 W model has unused tensor blk.40.ffn_up_shexp.weight (size = 589824 bytes) -- ignoring
0.01.716.897 W model has unused tensor blk.40.ffn_down_shexp.weight (size = 860160 bytes) -- ignoring
0.01.716.904 W model has unused tensor blk.40.nextn.eh_proj.weight (size = 4718592 bytes) -- ignoring
0.01.716.910 W model has unused tensor blk.40.nextn.enorm.weight (size = 8192 bytes) -- ignoring
0.01.716.915 W model has unused tensor blk.40.nextn.hnorm.weight (size = 8192 bytes) -- ignoring
0.01.716.931 W model has unused tensor blk.40.nextn.shared_head_norm.weight (size = 8192 bytes) -- ignoring
0.08.114.860 I cmn          init: llama threadpool init, n_threads = 6
0.08.115.281 I srv    load_model: capping per-slot context (262144) to --kv-unified-per-slot (131072)
0.08.262.727 I srv    load_model: initializing, n_slots = 2, n_ctx_slot = 131072, kv_unified = 'true'
0.08.270.280 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.08.270.330 I srv  llama_server: model loaded
0.08.270.337 I srv  llama_server: listening on http://0.0.0.0:8080
0.08.270.337 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.08.270.338 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.23.494.384 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.23.495.151 I slot launch_slot_: id  1 | task 6 | processing task, is_child = 0
0.25.129.424 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.25.129.727 I slot launch_slot_: id  0 | task 8 | processing task, is_child = 0
0.28.130.904 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   1024, progress = 0.01, t =   3.00 s / 341.20 tokens per second
0.29.682.371 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   1536, progress = 0.01, t =   4.55 s / 337.39 tokens per second
0.31.231.347 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   2048, progress = 0.02, t =   6.10 s / 335.65 tokens per second
0.32.783.844 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   2560, progress = 0.02, t =   7.65 s / 334.46 tokens per second
0.34.333.384 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   3072, progress = 0.02, t =   9.20 s / 333.78 tokens per second
0.35.885.958 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   3584, progress = 0.03, t =  10.76 s / 333.20 tokens per second
0.37.453.310 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   4096, progress = 0.03, t =  12.32 s / 332.37 tokens per second
0.39.013.783 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   4608, progress = 0.04, t =  13.88 s / 331.89 tokens per second
0.40.581.801 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   5120, progress = 0.04, t =  15.45 s / 331.35 tokens per second
0.42.159.658 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   5632, progress = 0.04, t =  17.03 s / 330.71 tokens per second
0.43.744.893 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   6144, progress = 0.05, t =  18.62 s / 330.05 tokens per second
0.45.338.108 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   6656, progress = 0.05, t =  20.21 s / 329.37 tokens per second
0.46.932.155 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   7168, progress = 0.06, t =  21.80 s / 328.77 tokens per second
0.48.538.757 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   7680, progress = 0.06, t =  23.41 s / 328.08 tokens per second
0.50.151.428 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   8192, progress = 0.06, t =  25.02 s / 327.40 tokens per second
0.51.756.055 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   8704, progress = 0.07, t =  26.63 s / 326.89 tokens per second
0.53.375.263 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   9216, progress = 0.07, t =  28.25 s / 326.28 tokens per second
0.54.997.928 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   9728, progress = 0.08, t =  29.87 s / 325.70 tokens per second
0.56.622.358 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =  10240, progress = 0.08, t =  31.49 s / 325.16 tokens per second
0.58.250.563 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =  10752, progress = 0.08, t =  33.12 s / 324.63 tokens per second
0.59.884.393 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =  11264, progress = 0.09, t =  34.75 s / 324.10 tokens per second
