0.00.019.463 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.020.097 W srv  llama_server: -----------------
0.00.020.101 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.020.101 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.020.102 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.020.102 W srv  llama_server: -----------------
0.00.021.613 I srv    load_model: loading model '/model/target.gguf'
AMX is not ready to be used!
0.03.760.843 I cmn          init: llama threadpool init, n_threads = 6
0.03.761.141 I common_speculative_init_result: creating MTP draft context against the target model '/model/target.gguf'
0.03.856.426 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'true'
0.03.919.269 I srv  llama_server: model loaded
0.03.919.283 I srv  llama_server: listening on http://0.0.0.0:8080
0.03.919.284 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.03.919.285 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.16.134.484 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.16.134.668 I slot launch_slot_: id  0 | task 38 | processing task, is_child = 0
0.16.456.265 I slot print_timing: id  0 | task 38 | prompt eval time =     127.34 ms /    16 tokens (    7.96 ms per token,   125.65 tokens per second)
0.16.456.270 I slot print_timing: id  0 | task 38 |        eval time =     194.20 ms /    16 tokens (   12.95 ms per token,    77.24 tokens per second)
0.16.456.271 I slot print_timing: id  0 | task 38 |       total time =     321.54 ms /    32 tokens
0.16.456.277 I slot print_timing: id  0 | task 38 |    graphs reused =          3
0.16.456.282 I slot print_timing: id  0 | task 38 | draft acceptance = 0.69231 (    9 accepted /    13 generated), mean len =  2.80
0.16.456.332 I slot      release: id  0 | task 38 | stop processing: n_tokens = 31, truncated = 0
0.31.020.896 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 10366613988
0.31.129.325 I slot launch_slot_: id  0 | task 83 | processing task, is_child = 0
0.34.700.104 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =   3584, progress = 0.03, t =   3.43 s / 1043.59 tokens per second
0.35.206.818 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =   4096, progress = 0.03, t =   3.94 s / 1039.84 tokens per second
0.35.714.801 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =   4608, progress = 0.04, t =   4.45 s / 1036.19 tokens per second
0.36.228.146 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =   5120, progress = 0.04, t =   4.96 s / 1032.58 tokens per second
0.36.742.734 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =   5632, progress = 0.04, t =   5.47 s / 1028.88 tokens per second
0.37.261.057 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =   6144, progress = 0.05, t =   5.99 s / 1025.72 tokens per second
0.37.781.357 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =   6656, progress = 0.05, t =   6.51 s / 1022.45 tokens per second
0.38.305.937 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =   7168, progress = 0.06, t =   7.03 s / 1019.23 tokens per second
0.38.831.201 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =   7680, progress = 0.06, t =   7.56 s / 1016.10 tokens per second
0.39.359.440 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =   8192, progress = 0.06, t =   8.08 s / 1013.38 tokens per second
0.39.886.576 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =   8704, progress = 0.07, t =   8.61 s / 1010.59 tokens per second
0.40.421.487 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =   9216, progress = 0.07, t =   9.14 s / 1007.78 tokens per second
0.40.956.688 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =   9728, progress = 0.08, t =   9.68 s / 1004.93 tokens per second
0.41.492.932 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  10240, progress = 0.08, t =  10.22 s / 1002.32 tokens per second
0.42.035.493 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  10752, progress = 0.08, t =  10.76 s / 999.63 tokens per second
0.42.576.679 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  11264, progress = 0.09, t =  11.30 s / 996.96 tokens per second
0.43.121.457 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  11776, progress = 0.09, t =  11.84 s / 994.50 tokens per second
0.43.667.763 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  12288, progress = 0.10, t =  12.39 s / 992.06 tokens per second
0.44.217.997 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  12800, progress = 0.10, t =  12.94 s / 989.46 tokens per second
0.44.771.474 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  13312, progress = 0.10, t =  13.49 s / 986.87 tokens per second
0.45.324.104 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  13824, progress = 0.11, t =  14.04 s / 984.47 tokens per second
0.45.884.836 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  14336, progress = 0.11, t =  14.60 s / 981.99 tokens per second
0.46.445.758 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  14848, progress = 0.12, t =  15.16 s / 979.36 tokens per second
0.47.008.440 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  15360, progress = 0.12, t =  15.72 s / 976.90 tokens per second
0.47.574.393 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  15872, progress = 0.12, t =  16.29 s / 974.49 tokens per second
0.48.141.212 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  16384, progress = 0.13, t =  16.85 s / 972.16 tokens per second
0.48.710.416 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  16896, progress = 0.13, t =  17.42 s / 969.76 tokens per second
0.49.282.609 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  17408, progress = 0.13, t =  17.99 s / 967.45 tokens per second
0.49.857.101 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  17920, progress = 0.14, t =  18.57 s / 965.12 tokens per second
0.50.435.047 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  18432, progress = 0.14, t =  19.15 s / 962.75 tokens per second
0.51.013.797 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  18944, progress = 0.15, t =  19.72 s / 960.48 tokens per second
0.51.597.737 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  19456, progress = 0.15, t =  20.31 s / 958.14 tokens per second
0.52.183.180 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  19968, progress = 0.15, t =  20.89 s / 955.82 tokens per second
0.52.770.577 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  20480, progress = 0.16, t =  21.48 s / 953.61 tokens per second
0.53.360.519 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  20992, progress = 0.16, t =  22.07 s / 951.29 tokens per second
0.53.954.499 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  21504, progress = 0.17, t =  22.66 s / 949.00 tokens per second
0.54.552.731 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  22016, progress = 0.17, t =  23.26 s / 946.70 tokens per second
0.55.153.062 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  22528, progress = 0.17, t =  23.86 s / 944.31 tokens per second
0.55.753.676 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  23040, progress = 0.18, t =  24.46 s / 942.11 tokens per second
0.56.355.869 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  23552, progress = 0.18, t =  25.06 s / 939.91 tokens per second
0.56.962.511 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  24064, progress = 0.19, t =  25.66 s / 937.71 tokens per second
0.57.573.354 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  24576, progress = 0.19, t =  26.27 s / 935.38 tokens per second
0.58.181.829 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  25088, progress = 0.19, t =  26.88 s / 933.27 tokens per second
0.58.795.524 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  25600, progress = 0.20, t =  27.49 s / 931.14 tokens per second
0.59.412.585 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  26112, progress = 0.20, t =  28.11 s / 928.95 tokens per second
1.00.030.761 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  26624, progress = 0.21, t =  28.73 s / 926.76 tokens per second
1.00.650.871 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  27136, progress = 0.21, t =  29.35 s / 924.67 tokens per second
1.01.273.485 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  27648, progress = 0.21, t =  29.97 s / 922.57 tokens per second
1.01.899.819 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  28160, progress = 0.22, t =  30.59 s / 920.44 tokens per second
1.02.527.887 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  28672, progress = 0.22, t =  31.22 s / 918.34 tokens per second
1.03.158.600 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  29184, progress = 0.23, t =  31.85 s / 916.25 tokens per second
1.03.793.089 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  29696, progress = 0.23, t =  32.48 s / 914.16 tokens per second
1.04.429.373 I slot print_timing: id  0 | task 83 | prompt processing, n_tokens =  30208, progress = 0.23, t =  33.12 s / 912.06 tokens per second
