0.00.046.364 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.047.298 W srv  llama_server: -----------------
0.00.047.303 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.047.304 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.047.304 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.047.305 W srv  llama_server: -----------------
0.00.049.031 I srv    load_model: loading model '/model/target.gguf'
AMX is not ready to be used!
0.03.685.890 I cmn          init: llama threadpool init, n_threads = 6
0.03.686.287 I common_speculative_init_result: creating MTP draft context against the target model '/model/target.gguf'
0.03.838.879 I srv    load_model: capping per-slot context (262144) to --kv-unified-per-slot (131072)
0.03.921.553 I srv    load_model: initializing, n_slots = 2, n_ctx_slot = 131072, kv_unified = 'true'
0.04.154.536 I srv  llama_server: model loaded
0.04.154.553 I srv  llama_server: listening on http://0.0.0.0:8080
0.04.154.554 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.04.154.554 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.19.478.986 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.19.479.691 I slot launch_slot_: id  1 | task 6 | processing task, is_child = 0
0.20.033.549 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.20.034.093 I slot launch_slot_: id  0 | task 8 | processing task, is_child = 0
0.23.522.392 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   4096, progress = 0.03, t =   3.35 s / 1222.04 tokens per second
0.23.973.925 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   4608, progress = 0.04, t =   3.80 s / 1211.83 tokens per second
0.24.427.312 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   5120, progress = 0.04, t =   4.26 s / 1203.21 tokens per second
0.24.883.751 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   5632, progress = 0.04, t =   4.71 s / 1195.47 tokens per second
0.25.340.967 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   6144, progress = 0.05, t =   5.17 s / 1189.06 tokens per second
0.25.799.679 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   6656, progress = 0.05, t =   5.63 s / 1183.19 tokens per second
0.26.260.397 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   7168, progress = 0.06, t =   6.09 s / 1177.98 tokens per second
0.26.724.115 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   7680, progress = 0.06, t =   6.55 s / 1172.94 tokens per second
0.27.190.390 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   8192, progress = 0.06, t =   7.01 s / 1168.06 tokens per second
0.27.658.213 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   8704, progress = 0.07, t =   7.48 s / 1163.52 tokens per second
0.28.128.595 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   9216, progress = 0.07, t =   7.95 s / 1159.26 tokens per second
0.28.601.365 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   9728, progress = 0.08, t =   8.42 s / 1155.01 tokens per second
0.29.075.541 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =  10240, progress = 0.08, t =   8.90 s / 1151.10 tokens per second
0.29.552.414 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =  10752, progress = 0.08, t =   9.37 s / 1147.32 tokens per second
0.30.032.331 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =  11264, progress = 0.09, t =   9.85 s / 1143.48 tokens per second
0.30.514.014 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =  11776, progress = 0.09, t =  10.33 s / 1139.75 tokens per second
0.30.997.719 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =  12288, progress = 0.10, t =  10.81 s / 1136.32 tokens per second
