0.00.048.116 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.049.191 W srv  llama_server: -----------------
0.00.049.196 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.049.197 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.049.197 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.049.198 W srv  llama_server: -----------------
0.00.050.865 I srv    load_model: loading model '/model/target.gguf'
AMX is not ready to be used!
0.03.581.556 I cmn          init: llama threadpool init, n_threads = 6
0.03.581.991 I common_speculative_init_result: creating MTP draft context against the target model '/model/target.gguf'
0.03.746.201 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'true'
0.03.878.633 I srv  llama_server: model loaded
0.03.878.645 I srv  llama_server: listening on http://0.0.0.0:8080
0.03.878.645 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.03.878.645 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.14.719.607 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.14.720.342 I slot launch_slot_: id  0 | task 2 | processing task, is_child = 0
0.17.881.740 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   3584, progress = 0.03, t =   3.03 s / 1184.29 tokens per second
0.18.327.918 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   4096, progress = 0.03, t =   3.47 s / 1180.10 tokens per second
0.18.775.701 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   4608, progress = 0.04, t =   3.92 s / 1175.94 tokens per second
0.19.224.756 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   5120, progress = 0.04, t =   4.37 s / 1172.38 tokens per second
0.19.677.559 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   5632, progress = 0.04, t =   4.82 s / 1168.67 tokens per second
0.20.133.576 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   6144, progress = 0.05, t =   5.27 s / 1164.96 tokens per second
0.20.591.638 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   6656, progress = 0.05, t =   5.73 s / 1161.60 tokens per second
0.21.050.258 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   7168, progress = 0.06, t =   6.19 s / 1158.14 tokens per second
0.21.511.095 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   7680, progress = 0.06, t =   6.65 s / 1155.00 tokens per second
0.21.975.170 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   8192, progress = 0.06, t =   7.11 s / 1151.80 tokens per second
0.22.440.210 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   8704, progress = 0.07, t =   7.58 s / 1148.69 tokens per second
0.22.908.018 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   9216, progress = 0.07, t =   8.04 s / 1145.69 tokens per second
0.23.377.325 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   9728, progress = 0.08, t =   8.51 s / 1142.77 tokens per second
0.23.848.746 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  10240, progress = 0.08, t =   8.98 s / 1139.90 tokens per second
0.24.322.280 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  10752, progress = 0.08, t =   9.46 s / 1137.02 tokens per second
0.24.797.663 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  11264, progress = 0.09, t =   9.93 s / 1134.24 tokens per second
0.25.278.056 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  11776, progress = 0.09, t =  10.41 s / 1131.21 tokens per second
0.25.758.221 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  12288, progress = 0.10, t =  10.89 s / 1128.36 tokens per second
0.26.240.535 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  12800, progress = 0.10, t =  11.37 s / 1125.67 tokens per second
0.26.726.045 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  13312, progress = 0.10, t =  11.86 s / 1122.83 tokens per second
0.27.212.455 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  13824, progress = 0.11, t =  12.34 s / 1120.14 tokens per second
0.27.702.113 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  14336, progress = 0.11, t =  12.83 s / 1117.36 tokens per second
0.28.193.579 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  14848, progress = 0.12, t =  13.32 s / 1114.61 tokens per second
0.28.688.225 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  15360, progress = 0.12, t =  13.81 s / 1111.90 tokens per second
0.29.182.422 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  15872, progress = 0.12, t =  14.31 s / 1109.24 tokens per second
0.29.680.242 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  16384, progress = 0.13, t =  14.81 s / 1106.65 tokens per second
0.30.178.692 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  16896, progress = 0.13, t =  15.30 s / 1104.05 tokens per second
0.30.681.505 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  17408, progress = 0.13, t =  15.81 s / 1101.38 tokens per second
0.31.184.425 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  17920, progress = 0.14, t =  16.31 s / 1098.85 tokens per second
0.31.690.730 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  18432, progress = 0.14, t =  16.81 s / 1096.32 tokens per second
0.32.200.391 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  18944, progress = 0.15, t =  17.32 s / 1093.69 tokens per second
0.32.710.282 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  19456, progress = 0.15, t =  17.83 s / 1091.14 tokens per second
0.33.223.015 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  19968, progress = 0.15, t =  18.34 s / 1088.61 tokens per second
0.33.737.620 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  20480, progress = 0.16, t =  18.86 s / 1086.12 tokens per second
0.34.253.967 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  20992, progress = 0.16, t =  19.37 s / 1083.60 tokens per second
0.34.773.898 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  21504, progress = 0.17, t =  19.89 s / 1081.07 tokens per second
0.35.294.803 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  22016, progress = 0.17, t =  20.41 s / 1078.63 tokens per second
0.35.820.226 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  22528, progress = 0.17, t =  20.94 s / 1076.02 tokens per second
0.36.346.649 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  23040, progress = 0.18, t =  21.46 s / 1073.54 tokens per second
0.36.874.221 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  23552, progress = 0.18, t =  21.99 s / 1071.12 tokens per second
0.37.403.011 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  24064, progress = 0.19, t =  22.52 s / 1068.72 tokens per second
0.37.935.604 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  24576, progress = 0.19, t =  23.05 s / 1066.26 tokens per second
0.38.470.643 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  25088, progress = 0.19, t =  23.58 s / 1063.84 tokens per second
