0.00.045.918 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.046.767 W srv  llama_server: -----------------
0.00.046.772 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.046.773 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.046.773 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.046.774 W srv  llama_server: -----------------
0.00.048.413 I srv    load_model: loading model '/model/target.gguf'
AMX is not ready to be used!
0.01.793.940 W model has unused tensor blk.32.attn_norm.weight (size = 16384 bytes) -- ignoring
0.01.793.951 W model has unused tensor blk.32.post_attention_norm.weight (size = 16384 bytes) -- ignoring
0.01.793.964 W model has unused tensor blk.32.attn_q.weight (size = 27525120 bytes) -- ignoring
0.01.793.969 W model has unused tensor blk.32.attn_k.weight (size = 3440640 bytes) -- ignoring
0.01.793.974 W model has unused tensor blk.32.attn_v.weight (size = 3440640 bytes) -- ignoring
0.01.793.991 W model has unused tensor blk.32.attn_output.weight (size = 13762560 bytes) -- ignoring
0.01.793.996 W model has unused tensor blk.32.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.01.794.001 W model has unused tensor blk.32.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.01.794.008 W model has unused tensor blk.32.ffn_gate.weight (size = 41287680 bytes) -- ignoring
0.01.794.014 W model has unused tensor blk.32.ffn_down.weight (size = 41287680 bytes) -- ignoring
0.01.794.019 W model has unused tensor blk.32.ffn_up.weight (size = 41287680 bytes) -- ignoring
0.01.794.025 W model has unused tensor blk.32.nextn.eh_proj.weight (size = 27525120 bytes) -- ignoring
0.01.794.030 W model has unused tensor blk.32.nextn.enorm.weight (size = 16384 bytes) -- ignoring
0.01.794.036 W model has unused tensor blk.32.nextn.hnorm.weight (size = 16384 bytes) -- ignoring
0.01.794.050 W model has unused tensor blk.32.nextn.shared_head_norm.weight (size = 16384 bytes) -- ignoring
0.03.265.363 I cmn          init: llama threadpool init, n_threads = 6
0.03.265.748 I srv    load_model: capping per-slot context (262144) to --kv-unified-per-slot (131072)
0.03.379.641 I srv    load_model: initializing, n_slots = 2, n_ctx_slot = 131072, kv_unified = 'true'
0.03.389.644 I srv  llama_server: model loaded
0.03.389.657 I srv  llama_server: listening on http://0.0.0.0:8080
0.03.389.658 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.03.389.659 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.19.536.679 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.19.537.003 I slot launch_slot_: id  1 | task 6 | processing task, is_child = 0
0.19.889.717 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.19.890.030 I slot launch_slot_: id  0 | task 8 | processing task, is_child = 0
0.23.079.584 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   4608, progress = 0.04, t =   3.19 s / 1444.73 tokens per second
0.23.449.383 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   5120, progress = 0.04, t =   3.56 s / 1438.48 tokens per second
0.23.820.035 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   5632, progress = 0.04, t =   3.93 s / 1433.09 tokens per second
0.24.191.882 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   6144, progress = 0.05, t =   4.30 s / 1428.23 tokens per second
0.24.565.883 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   6656, progress = 0.05, t =   4.68 s / 1423.50 tokens per second
0.24.940.393 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   7168, progress = 0.06, t =   5.05 s / 1419.31 tokens per second
0.25.316.021 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   7680, progress = 0.06, t =   5.43 s / 1415.42 tokens per second
0.25.694.990 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   8192, progress = 0.06, t =   5.80 s / 1411.22 tokens per second
0.26.074.721 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   8704, progress = 0.07, t =   6.18 s / 1407.36 tokens per second
0.26.456.033 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   9216, progress = 0.07, t =   6.57 s / 1403.60 tokens per second
0.26.838.562 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   9728, progress = 0.08, t =   6.95 s / 1400.02 tokens per second
0.27.223.207 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =  10240, progress = 0.08, t =   7.33 s / 1396.40 tokens per second
0.27.605.834 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =  10752, progress = 0.08, t =   7.72 s / 1393.51 tokens per second
0.27.994.704 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =  11264, progress = 0.09, t =   8.10 s / 1389.82 tokens per second
0.28.385.285 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =  11776, progress = 0.09, t =   8.50 s / 1386.19 tokens per second
0.28.777.092 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =  12288, progress = 0.10, t =   8.89 s / 1382.69 tokens per second
0.29.169.819 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =  12800, progress = 0.10, t =   9.28 s / 1379.35 tokens per second
0.29.564.921 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =  13312, progress = 0.10, t =   9.67 s / 1375.94 tokens per second
0.29.962.628 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =  13824, progress = 0.11, t =  10.07 s / 1372.44 tokens per second
0.30.360.624 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =  14336, progress = 0.11, t =  10.47 s / 1369.17 tokens per second
0.30.760.359 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =  14848, progress = 0.12, t =  10.87 s / 1365.92 tokens per second
