0.00.047.859 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.048.767 W srv  llama_server: -----------------
0.00.048.773 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.048.773 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.048.774 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.048.774 W srv  llama_server: -----------------
0.00.050.446 I srv    load_model: loading model '/model/target.gguf'
AMX is not ready to be used!
0.01.659.754 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.01.659.766 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.01.659.781 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.01.659.786 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.01.659.792 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.01.659.810 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.01.659.816 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.01.659.821 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.01.659.827 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.01.659.832 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.01.659.837 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.01.659.845 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.01.659.850 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.01.659.856 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.01.659.871 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.04.561.210 I cmn          init: llama threadpool init, n_threads = 6
0.04.561.609 I srv    load_model: capping per-slot context (262144) to --kv-unified-per-slot (131072)
0.04.688.730 I srv    load_model: initializing, n_slots = 2, n_ctx_slot = 131072, kv_unified = 'true'
0.04.698.818 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.04.698.879 I srv  llama_server: model loaded
0.04.698.886 I srv  llama_server: listening on http://0.0.0.0:8080
0.04.698.887 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.04.698.887 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.19.550.623 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.19.551.326 I slot launch_slot_: id  1 | task 6 | processing task, is_child = 0
0.20.692.497 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.20.692.847 I slot launch_slot_: id  0 | task 8 | processing task, is_child = 0
0.24.565.957 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   1536, progress = 0.01, t =   3.87 s / 396.59 tokens per second
0.25.895.323 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   2048, progress = 0.02, t =   5.20 s / 393.66 tokens per second
0.27.229.136 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   2560, progress = 0.02, t =   6.54 s / 391.67 tokens per second
0.28.567.952 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   3072, progress = 0.02, t =   7.88 s / 390.09 tokens per second
0.29.914.346 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   3584, progress = 0.03, t =   9.22 s / 388.66 tokens per second
0.31.266.374 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   4096, progress = 0.03, t =  10.57 s / 387.39 tokens per second
0.32.622.242 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   4608, progress = 0.04, t =  11.93 s / 386.28 tokens per second
0.33.983.565 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   5120, progress = 0.04, t =  13.29 s / 385.23 tokens per second
0.35.349.456 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   5632, progress = 0.04, t =  14.66 s / 384.27 tokens per second
0.36.721.820 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   6144, progress = 0.05, t =  16.03 s / 383.31 tokens per second
0.38.099.280 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   6656, progress = 0.05, t =  17.41 s / 382.39 tokens per second
0.39.484.241 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   7168, progress = 0.06, t =  18.79 s / 381.45 tokens per second
0.40.871.819 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   7680, progress = 0.06, t =  20.18 s / 380.60 tokens per second
0.42.264.548 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   8192, progress = 0.06, t =  21.57 s / 379.76 tokens per second
0.43.665.050 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   8704, progress = 0.07, t =  22.97 s / 378.89 tokens per second
0.45.070.665 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   9216, progress = 0.07, t =  24.38 s / 378.05 tokens per second
0.46.480.067 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   9728, progress = 0.08, t =  25.79 s / 377.24 tokens per second
