0.00.055.920 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.058.343 W srv  llama_server: -----------------
0.00.058.350 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.058.351 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.058.351 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.058.352 W srv  llama_server: -----------------
0.00.060.927 I srv    load_model: loading model '/model/target.gguf'
AMX is not ready to be used!
0.01.895.875 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.01.895.886 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.01.895.900 W model has unused tensor blk.64.attn_q.weight (size = 51609600 bytes) -- ignoring
0.01.895.906 W model has unused tensor blk.64.attn_k.weight (size = 5570560 bytes) -- ignoring
0.01.895.911 W model has unused tensor blk.64.attn_v.weight (size = 5570560 bytes) -- ignoring
0.01.895.930 W model has unused tensor blk.64.attn_output.weight (size = 25804800 bytes) -- ignoring
0.01.895.936 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.01.895.941 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.01.895.947 W model has unused tensor blk.64.ffn_gate.weight (size = 73113600 bytes) -- ignoring
0.01.895.952 W model has unused tensor blk.64.ffn_down.weight (size = 73113600 bytes) -- ignoring
0.01.895.957 W model has unused tensor blk.64.ffn_up.weight (size = 73113600 bytes) -- ignoring
0.01.895.964 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 43008000 bytes) -- ignoring
0.01.895.971 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.01.895.976 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.01.895.992 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.06.646.125 I cmn          init: llama threadpool init, n_threads = 6
0.06.646.536 I srv    load_model: capping per-slot context (262144) to --kv-unified-per-slot (131072)
0.06.834.747 I srv    load_model: initializing, n_slots = 2, n_ctx_slot = 131072, kv_unified = 'true'
0.06.846.400 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.06.846.462 I srv  llama_server: model loaded
0.06.846.470 I srv  llama_server: listening on http://0.0.0.0:8080
0.06.846.470 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.06.846.470 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.21.646.496 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.21.647.223 I slot launch_slot_: id  1 | task 6 | processing task, is_child = 0
0.22.852.098 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.22.852.437 I slot launch_slot_: id  0 | task 8 | processing task, is_child = 0
0.26.712.307 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   1536, progress = 0.01, t =   3.86 s / 397.94 tokens per second
0.28.037.656 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   2048, progress = 0.02, t =   5.19 s / 394.97 tokens per second
0.29.369.086 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   2560, progress = 0.02, t =   6.52 s / 392.84 tokens per second
0.30.706.097 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   3072, progress = 0.02, t =   7.85 s / 391.16 tokens per second
0.32.045.835 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   3584, progress = 0.03, t =   9.19 s / 389.85 tokens per second
0.33.392.253 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   4096, progress = 0.03, t =  10.54 s / 388.62 tokens per second
0.34.744.697 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   4608, progress = 0.04, t =  11.89 s / 387.48 tokens per second
0.36.100.704 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   5120, progress = 0.04, t =  13.25 s / 386.47 tokens per second
0.37.463.958 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   5632, progress = 0.04, t =  14.61 s / 385.45 tokens per second
0.38.830.016 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   6144, progress = 0.05, t =  15.98 s / 384.54 tokens per second
0.40.203.022 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   6656, progress = 0.05, t =  17.35 s / 383.62 tokens per second
0.41.581.314 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   7168, progress = 0.06, t =  18.73 s / 382.73 tokens per second
0.42.966.158 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   7680, progress = 0.06, t =  20.11 s / 381.83 tokens per second
0.44.356.016 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   8192, progress = 0.06, t =  21.50 s / 380.96 tokens per second
0.45.750.845 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   8704, progress = 0.07, t =  22.90 s / 380.11 tokens per second
0.47.151.751 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   9216, progress = 0.07, t =  24.30 s / 379.27 tokens per second
0.48.558.282 I slot print_timing: id  0 | task 8 | prompt processing, n_tokens =   9728, progress = 0.08, t =  25.71 s / 378.44 tokens per second
